year_month,product,sentiment,n_pairs,month_product_total,share
2024-05,gummies,positive,26,43,0.6046511627906976
2024-05,oil,negative,8,50,0.16
2024-05,oil,neutral,12,50,0.24
2024-05,oil,positive,30,50,0.6
2024-05,topical,negative,1,3,0.3333333333333333
2024-05,topical,neutral,1,3,0.3333333333333333
2024-05,topical,positive,1,3,0.3333333333333333
2024-05,vape,negative,12,37,0.32432432432432434
2024-05,vape,neutral,9,37,0.24324324324324326
2024-05,vape,positive,16,37,0.43243243243243246
2024-06,flower,negative,7,47,0.14893617021276595
2024-06,flower,neutral,6,47,0.1276595744680851
2024-06,flower,positive,34,47,0.723404255319149
2024-06,gummies,negative,24,56,0.42857142857142855
2024-06,gummies,neutral,5,56,0.08928571428571429
2024-06,gummies,positive,27,56,0.48214285714285715
2024-06,oil,negative,12,55,0.21818181818181817
2024-06,oil,neutral,9,55,0.16363636363636364
2024-06,oil,positive,34,55,0.6181818181818182
2024-06,topical,positive,2,2,1.0
2024-06,vape,negative,15,50,0.3
2024-06,vape,neutral,8,50,0.16
2024-06,vape,positive,27,50,0.54
2024-07,flower,negative,11,43,0.2558139534883721
2024-07,flower,neutral,5,43,0.11627906976744186
2024-07,flower,positive,27,43,0.627906976744186
2024-07,gummies,negative,8,49,0.16326530612244897
2024-07,gummies,neutral,6,49,0.12244897959183673
2024-07,gummies,positive,35,49,0.7142857142857143
2024-07,oil,negative,13,52,0.25
2024-07,oil,neutral,6,52,0.11538461538461539
2024-07,oil,positive,33,52,0.6346153846153846
2024-07,topical,positive,4,4,1.0
2024-07,vape,negative,19,50,0.38
2024-07,vape,neutral,8,50,0.16
2024-07,vape,positive,23,50,0.46
2024-08,flower,negative,17,59,0.288135593220339
2024-08,flower,neutral,7,59,0.11864406779661017
2024-08,flower,positive,35,59,0.5932203389830508
2024-08,gummies,negative,9,50,0.18
2024-08,gummies,neutral,9,50,0.18
2024-08,gummies,positive,32,50,0.64
2024-08,oil,negative,11,52,0.21153846153846154
2024-08,oil,neutral,7,52,0.1346153846153846
2024-08,oil,positive,34,52,0.6538461538461539
2024-08,topical,negative,2,8,0.25
2024-08,topical,neutral,2,8,0.25
2024-08,topical,positive,4,8,0.5
2024-08,vape,negative,23,51,0.45098039215686275
2024-08,vape,neutral,8,51,0.1568627450980392
2024-08,vape,positive,20,51,0.39215686274509803
2024-09,flower,negative,8,37,0.21621621621621623
2024-09,flower,neutral,4,37,0.10810810810810811
2024-09,flower,positive,25,37,0.6756756756756757
2024-09,gummies,negative,19,56,0.3392857142857143
2024-09,gummies,neutral,10,56,0.17857142857142858
2024-09,gummies,positive,27,56,0.48214285714285715
2024-09,oil,negative,10,46,0.21739130434782608
2024-09,oil,neutral,9,46,0.1956521739130435
2024-09,oil,positive,27,46,0.5869565217391305
2024-09,topical,neutral,3,6,0.5
2024-09,topical,positive,3,6,0.5
2024-09,vape,negative,19,54,0.35185185185185186
2024-09,vape,neutral,9,54,0.16666666666666666
2024-09,vape,positive,26,54,0.48148148148148145
2024-10,flower,negative,11,44,0.25
2024-10,flower,neutral,7,44,0.1590909090909091
2024-10,flower,positive,26,44,0.5909090909090909
2024-10,gummies,negative,18,57,0.3157894736842105
2024-10,gummies,neutral,7,57,0.12280701754385964
2024-10,gummies,positive,32,57,0.5614035087719298
2024-10,oil,negative,4,53,0.07547169811320754
2024-10,oil,neutral,10,53,0.18867924528301888
2024-10,oil,positive,39,53,0.7358490566037735
2024-10,topical,negative,1,7,0.14285714285714285
2024-10,topical,neutral,3,7,0.42857142857142855
2024-10,topical,positive,3,7,0.42857142857142855
2024-10,vape,negative,24,59,0.4067796610169492
2024-10,vape,neutral,8,59,0.13559322033898305
2024-10,vape,positive,27,59,0.4576271186440678
2024-11,flower,negative,12,46,0.2608695652173913
2024-11,flower,neutral,9,46,0.1956521739130435
2024-11,flower,positive,25,46,0.5434782608695652
2024-11,gummies,negative,14,45,0.3111111111111111
2024-11,gummies,neutral,8,45,0.17777777777777778
2024-11,gummies,positive,23,45,0.5111111111111111
2024-11,oil,negative,7,45,0.15555555555555556
2024-11,oil,neutral,8,45,0.17777777777777778
2024-11,oil,positive,30,45,0.6666666666666666
2024-11,topical,neutral,1,2,0.5
2024-11,topical,positive,1,2,0.5
2024-11,vape,negative,9,41,0.21951219512195122
2024-11,vape,neutral,10,41,0.24390243902439024
2024-11,vape,positive,22,41,0.5365853658536586
2024-12,flower,negative,8,41,0.1951219512195122
2024-12,flower,neutral,10,41,0.24390243902439024
2024-12,flower,positive,23,41,0.5609756097560976
2024-12,gummies,negative,16,42,0.38095238095238093
2024-12,gummies,neutral,5,42,0.11904761904761904
2024-12,gummies,positive,21,42,0.5
2024-12,oil,negative,8,49,0.16326530612244897
2024-12,oil,neutral,5,49,0.10204081632653061
2024-12,oil,positive,36,49,0.7346938775510204
2024-12,topical,negative,1,10,0.1
2024-12,topical,neutral,2,10,0.2
2024-12,topical,positive,7,10,0.7
2024-12,vape,negative,15,50,0.3
2024-12,vape,neutral,9,50,0.18
2024-12,vape,positive,26,50,0.52
